address;source_location;insn;indent
0x4024c0;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:194;PUSH	%RBP;
0x4024c1;:0;MOV	%RSP,%RBP;
0x4024c4;:0;PUSH	%R15;
0x4024c6;:0;PUSH	%R14;
0x4024c8;:0;PUSH	%R13;
0x4024ca;:0;PUSH	%R12;
0x4024cc;:0;PUSH	%RBX;
0x4024cd;:0;SUB	$0x58,%RSP;
0x4024d1;:0;MOV	%RDI,%RBX;
0x4024d4;:0;VMOVSS	%XMM0,-0x3c(%RBP);
0x4024d9;:0;MOV	$0x4312d0,%EDI;
0x4024de;:0;CALL	402160 <__kmpc_global_thread_num@plt>;
0x4024e3;:0;MOV	%EAX,-0x2c(%RBP);
0x4024e6;:0;MOV	%RBX,-0x38(%RBP);
0x4024ea;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:200;TEST	%RBX,%RBX;
0x4024ed;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:200;JE	40284b <move_particles+0x38b>;
0x4024f3;:0;LEA	0x10(%RBP),%RCX;
0x4024f7;:0;MOV	-0x38(%RBP),%RAX;
0x4024fb;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:210;LEA	0x3(%RAX),%R11;
0x4024ff;:0;MOV	%R11,-0x50(%RBP);
0x402503;:0;SHR	$0x2,%R11;
0x402507;:0;DEC	%R11;
0x40250a;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:255;MOV	0x18(%RCX),%R10;
0x40250e;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:256;MOV	0x20(%RCX),%RAX;
0x402512;:0;MOV	%RAX,-0x60(%RBP);
0x402516;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:257;MOV	0x28(%RCX),%RAX;
0x40251a;:0;MOV	%RAX,-0x58(%RBP);
0x40251e;:0;XOR	%R15D,%R15D;
0x402521;:0;NOPW	%CS:(%RAX,%RAX,1);
0x402530;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:203;MOVL	$0,-0x48(%RBP);(1) 
0x402537;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:204;MOVL	$0,-0x44(%RBP);(1) 
0x40253e;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:205;MOVL	$0,-0x40(%RBP);(1) 
0x402545;/mnt/d/isty/IATIC5/new/projet_optimisation/nbody3D/nbody.c:208;MOV	$0x4312b0,%EDI;(1) 
0x40254a;:0;MOV	$0x4031a0,%EDX;(1) 
0x40254f;:0;MOV	$0x7,%ESI;(1) 
0x402554;:0;MOV	%RCX,%R12;(1) 
0x402557;:0;MOV	%R15,%R8;(1) 
0x40255a;:0;XOR	%R9D,%R9D;(1) 
0x40255d;:0;XOR	%EAX,%EAX;(1) 
0x40255f;:0;LEA	-0x40(%RBP),%RBX;(1) 
0x402563;:0;PUSH	%RBX;(1) 
0x402564;:0;LEA	-0x44(%RBP),%RBX;(1) 
0x402568;:0;PUSH	%RBX;(1) 
0x402569;:0;LEA	-0x48(%RBP),%RBX;(1) 
0x40256d;:0;PUSH	%RBX;(1) 
0x40256e;:0;PUSH	%R11;(1) 
0x402570;:0;MOV	%R10,%R14;(1) 
0x402573;:0;MOV	%R11,%R13;(1) 
0x402576;:0;CALL	402130 <__kmpc_fork_call@plt>;(1) 
0x40257b;:0;MOV	%R13,%R11;(1) 
0x40257e;:0;MOV	%R12,%RCX;(1) 
0x402581;:0;MOV	%R14,%R10;(1) 
0x402584;:0;ADD	$0x20,%RSP;(1) 
